cfips,ba,county,state,latitude,longitude,wkt,geometry
53007,p1,chelan,WA,47.9098,-120.5391,POINT (-120.5391 47.9098),POINT (-1825592.2627874608 1236974.3334936176)
53029,p1,island,WA,48.1587,-122.5982,POINT (-122.5982 48.1587),POINT (-1966630.6949381751 1306380.099155492)
53033,p1,king,WA,47.4335,-121.8726,POINT (-121.8726 47.4335),POINT (-1937016.4907447698 1213531.8318024382)
53035,p1,kitsap,WA,47.6727,-122.6826,POINT (-122.6826 47.6727),POINT (-1988276.717319384 1256460.9551096691)
53037,p1,kittitas,WA,47.1679,-120.6629,POINT (-120.6629 47.1679),POINT (-1856611.1006893902 1159970.4487239227)
53053,p1,pierce,WA,47.0256,-122.0375,POINT (-122.0375 47.0256),POINT (-1961796.5449610567 1173532.0314297208)
53055,p1,san juan,WA,48.6522,-122.8183,POINT (-122.8183 48.6522),POINT (-1966530.489163378 1363666.1320294943)
53057,p1,skagit,WA,48.4771,-121.7638,POINT (-121.7638 48.4771),POINT (-1896745.1202447896 1322664.5942248998)
53061,p1,snohomish,WA,48.0379,-121.682,POINT (-121.682 48.0379),POINT (-1904453.8362553725 1274052.3544081163)
53067,p1,thurston,WA,46.9724,-122.8948,POINT (-122.8948 46.9724),POINT (-2026257.146972515 1186607.9587435855)
53073,p1,whatcom,WA,48.8219,-121.7266,POINT (-121.7266 48.8219),POINT (-1883406.981622468 1358719.46153451)
53003,p2,asotin,WA,46.2299,-117.1874,POINT (-117.1874 46.2299),POINT (-1624104.9817049685 992630.258679298)
53005,p2,benton,WA,46.2826,-119.5709,POINT (-119.5709 46.2826),POINT (-1801439.9214037077 1043075.7226668947)
53009,p2,clallam,WA,48.13,-124.0838,POINT (-124.0838 48.13),POINT (-2074043.6465847024 1336239.6388283644)
53011,p2,clark,WA,45.8042,-122.52,POINT (-122.52 45.8042),POINT (-2036053.7531011687 1053933.2059174038)
53013,p2,columbia,WA,46.3041,-117.9269,POINT (-117.9269 46.3041),POINT (-1677749.6419658787 1014034.5973230816)
53015,p2,cowlitz,WA,46.1148,-122.6116,POINT (-122.6116 46.1148),POINT (-2032955.3319257344 1089045.7410784506)
53023,p2,garfield,WA,46.3542,-117.5476,POINT (-117.5476 46.3542),POINT (-1647970.6815870602 1012530.8610760841)
53027,p2,grays harbor,WA,47.1649,-123.8418,POINT (-123.8418 47.1649),POINT (-2088981.7529298277 1228416.9829625166)
53031,p2,jefferson,WA,47.8319,-123.6728,POINT (-123.6728 47.8319),POINT (-2054538.066440276 1295327.913454549)
53039,p2,klickitat,WA,45.8257,-120.7766,POINT (-120.7766 45.8257),POINT (-1904993.6477224103 1018561.4915301898)
53041,p2,lewis,WA,46.5892,-122.3843,POINT (-122.3843 46.5892),POINT (-2001037.5507767315 1134542.6236974483)
53045,p2,mason,WA,47.3456,-123.3253,POINT (-123.3253 47.3456),POINT (-2045477.4540399802 1235888.2064366061)
53049,p2,pacific,WA,46.5179,-123.6271,POINT (-123.6271 46.5179),POINT (-2094825.2794181765 1154866.984060375)
53059,p2,skamania,WA,45.9743,-121.9292,POINT (-121.9292 45.9743),POINT (-1986636.010441553 1059034.8608536222)
53069,p2,wahkiakum,WA,46.2684,-123.3392,POINT (-123.3392 46.2684),POINT (-2081845.9961091874 1121790.8117646705)
53071,p2,walla walla,WA,46.3041,-118.5042,POINT (-118.5042 46.3041),POINT (-1721033.8278713129 1024791.0820535457)
53077,p2,yakima,WA,46.5669,-120.6488,POINT (-120.6488 46.5669),POINT (-1873412.8073464897 1095296.6057960761)
53001,p3,adams,WA,46.9968,-118.4708,POINT (-118.4708 46.9968),POINT (-1699751.273294113 1098839.4852002312)
53019,p3,ferry,WA,48.4175,-118.5235,POINT (-118.5235 48.4175),POINT (-1665043.408945073 1252990.5907119461)
53021,p3,franklin,WA,46.4669,-118.9422,POINT (-118.9422 46.4669),POINT (-1749323.625743739 1050661.9548289308)
53043,p3,lincoln,WA,47.6123,-118.3998,POINT (-118.3998 47.6123),POINT (-1677851.8233271586 1163894.3610058543)
53047,p3,okanogan,WA,48.4732,-119.7409,POINT (-119.7409 48.4732),POINT (-1751457.4273864191 1281787.8498843866)
53051,p3,pend oreille,WA,48.5392,-117.2681,POINT (-117.2681 48.5392),POINT (-1570850.6782905369 1243865.1716714127)
53063,p3,spokane,WA,47.6423,-117.4305,POINT (-117.4305 47.6423),POINT (-1605842.4041404438 1149684.981905897)
53065,p3,stevens,WA,48.3997,-117.8489,POINT (-117.8489 48.3997),POINT (-1616616.2916893533 1238933.112396279)
53075,p3,whitman,WA,46.8409,-117.522,POINT (-117.522 46.8409),POINT (-1633400.65181924 1064672.335939425)
53017,p4,douglas,WA,47.6869,-119.7491,POINT (-119.7491 47.6869),POINT (-1774557.8621659472 1197462.3890330098)
53025,p4,grant,WA,47.284,-119.492,POINT (-119.492 47.284),POINT (-1767186.7801471292 1149169.855410819)
41003,p5,benton,OR,44.4993,-123.4045,POINT (-123.4045 44.4993),POINT (-2144860.5057927063 935475.8518498096)
41005,p5,clackamas,OR,45.1741,-122.2447,POINT (-122.2447 45.1741),POINT (-2035382.0036386715 980667.8591076526)
41007,p5,clatsop,OR,46.0053,-123.6441,POINT (-123.6441 46.0053),POINT (-2113081.055239863 1100876.4832892737)
41009,p5,columbia,OR,45.9577,-123.0865,POINT (-123.0865 45.9577),POINT (-2073281.2268801031 1083025.1880397042)
41013,p5,crook,OR,44.1294,-120.3221,POINT (-120.3221 44.1294),POINT (-1920565.98017217 827304.6450453302)
41017,p5,deschutes,OR,44.0035,-121.4056,POINT (-121.4056 44.0035),POINT (-2007794.7829945497 837165.7734972951)
41021,p5,gilliam,OR,45.44,-120.2443,POINT (-120.2443 45.44),POINT (-1876307.7459932473 966197.3315482594)
41023,p5,grant,OR,44.4798,-119.009,POINT (-119.009 44.4798),POINT (-1809433.9933210742 838087.0403324943)
41027,p5,hood river,OR,45.4923,-121.6721,POINT (-121.6721 45.4923),POINT (-1982343.8861177377 1001997.5163222908)
41031,p5,jefferson,OR,44.6083,-121.0936,POINT (-121.0936 44.6083),POINT (-1965509.1998126514 895015.3455538666)
41039,p5,lane,OR,43.8651,-122.7483,POINT (-122.7483 43.8651),POINT (-2115373.5688189524 852762.3846995552)
41041,p5,lincoln,OR,44.661,-123.8306,POINT (-123.8306 44.661),POINT (-2171778.4809085685 962710.6044150469)
41043,p5,linn,OR,44.4967,-122.5258,POINT (-122.5258 44.4967),POINT (-2078153.9943555088 914856.4124446602)
41047,p5,marion,OR,44.9852,-122.8053,POINT (-122.8053 44.9852),POINT (-2083694.8502021139 973215.3107874047)
41049,p5,morrow,OR,45.4638,-119.5752,POINT (-119.5752 45.4638),POINT (-1825024.4854409108 955175.2478042647)
41051,p5,multnomah,OR,45.5805,-122.6646,POINT (-122.6646 45.5805),POINT (-2054003.8424814423 1033361.6401390262)
