exp_name,location,asset_type,asset_name,capacity
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48189,solar,solar,104.42954577818091
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48189,wind,wind,223.67148231774593
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48189,geothermal,geothermal,0.0
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48189,storage,lithium_ion,100.0
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48189,smr,smr,100.0
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48189,gas_turbine,gas,100.0
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48189,diesel,diesel,10.0
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48195,solar,solar,123.69871455720704
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48195,wind,wind,204.8581442674313
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48195,geothermal,geothermal,0.0
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48195,storage,lithium_ion,100.0
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48195,smr,smr,100.0
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48195,gas_turbine,gas,100.0
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48195,diesel,diesel,10.0
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48279,solar,solar,121.1931119546548
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48279,wind,wind,214.82974215351257
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48279,geothermal,geothermal,0.0
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48279,storage,lithium_ion,100.0
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48279,smr,smr,100.0
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48279,gas_turbine,gas,100.0
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48279,diesel,diesel,10.0
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48353,solar,solar,120.1048455454802
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48353,wind,wind,221.24966259679383
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48353,geothermal,geothermal,0.0
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48353,storage,lithium_ion,100.0
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48353,smr,smr,100.0
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48353,gas_turbine,gas,100.0
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48353,diesel,diesel,10.0
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48371,solar,solar,128.88158737661524
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48371,wind,wind,213.50440675619814
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48371,geothermal,geothermal,0.0
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48371,storage,lithium_ion,100.0
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48371,smr,smr,100.0
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48371,gas_turbine,gas,100.0
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48371,diesel,diesel,10.0
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48375,solar,solar,105.59954616812001
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48375,wind,wind,180.68868415003962
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48375,geothermal,geothermal,0.0
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48375,storage,lithium_ion,100.0
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48375,smr,smr,100.0
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48375,gas_turbine,gas,100.0
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48375,diesel,diesel,10.0
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48383,solar,solar,128.88216519965317
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48383,wind,wind,203.93326793287508
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48383,geothermal,geothermal,0.0
