exp_name,location,asset_type,asset_name,capacity
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48303,solar,solar,7.860666847672405
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48303,wind,wind,0.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48303,geothermal,geothermal,0.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48303,storage,lithium_ion,100.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48303,smr,smr,100.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48303,gas_turbine,gas,50.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48303,diesel,diesel,5.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48305,solar,solar,7.752717522915589
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48305,wind,wind,0.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48305,geothermal,geothermal,0.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48305,storage,lithium_ion,100.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48305,smr,smr,100.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48305,gas_turbine,gas,50.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48305,diesel,diesel,5.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48307,solar,solar,0.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48307,wind,wind,5.2663081784782975
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48307,geothermal,geothermal,0.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48307,storage,lithium_ion,100.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48307,smr,smr,100.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48307,gas_turbine,gas,50.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48307,diesel,diesel,5.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48329,solar,solar,7.740111360266155
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48329,wind,wind,0.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48329,geothermal,geothermal,0.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48329,storage,lithium_ion,100.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48329,smr,smr,100.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48329,gas_turbine,gas,50.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48329,diesel,diesel,5.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48335,solar,solar,0.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48335,wind,wind,5.129292872434959
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48335,geothermal,geothermal,0.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48335,storage,lithium_ion,100.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48335,smr,smr,100.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48335,gas_turbine,gas,50.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48335,diesel,diesel,5.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48389,solar,solar,7.711798440708321
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48389,wind,wind,0.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48389,geothermal,geothermal,0.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48389,storage,lithium_ion,100.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48389,smr,smr,100.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48389,gas_turbine,gas,50.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48389,diesel,diesel,5.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48415,solar,solar,0.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48415,wind,wind,5.267974034307315
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48415,geothermal,geothermal,0.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48415,storage,lithium_ion,100.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48415,smr,smr,100.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48415,gas_turbine,gas,50.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48415,diesel,diesel,5.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48421,solar,solar,0.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48421,wind,wind,5.091261039194535
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48421,geothermal,geothermal,0.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48421,storage,lithium_ion,100.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48421,smr,smr,100.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48421,gas_turbine,gas,50.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48421,diesel,diesel,5.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48439,solar,solar,8.787523907204218
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48439,wind,wind,0.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48439,geothermal,geothermal,0.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48439,storage,lithium_ion,100.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48439,smr,smr,100.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48439,gas_turbine,gas,50.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48439,diesel,diesel,5.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48495,solar,solar,7.5362935376539895
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48495,wind,wind,0.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48495,geothermal,geothermal,0.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48495,storage,lithium_ion,100.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48495,smr,smr,100.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48495,gas_turbine,gas,50.0
all_gen_200MW___001__ren_penetration=0__site_gen_penetration=0,48495,diesel,diesel,5.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48329,solar,solar,7.740111360266212
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48329,wind,wind,0.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48329,geothermal,geothermal,0.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48329,storage,lithium_ion,100.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48329,smr,smr,100.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48329,gas_turbine,gas,50.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48329,diesel,diesel,5.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48335,solar,solar,0.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48335,wind,wind,5.129292872434981
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48335,geothermal,geothermal,0.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48335,storage,lithium_ion,100.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48335,smr,smr,100.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48335,gas_turbine,gas,50.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48335,diesel,diesel,5.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48353,solar,solar,0.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48353,wind,wind,4.608003461184595
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48353,geothermal,geothermal,0.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48353,storage,lithium_ion,100.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48353,smr,smr,100.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48353,gas_turbine,gas,50.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48353,diesel,diesel,5.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48371,solar,solar,0.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48371,wind,wind,4.858075057313876
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48371,geothermal,geothermal,0.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48371,storage,lithium_ion,100.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48371,smr,smr,100.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48371,gas_turbine,gas,50.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48371,diesel,diesel,5.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48389,solar,solar,7.711798440708378
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48389,wind,wind,0.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48389,geothermal,geothermal,0.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48389,storage,lithium_ion,100.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48389,smr,smr,100.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48389,gas_turbine,gas,50.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48389,diesel,diesel,5.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48415,solar,solar,0.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48415,wind,wind,5.267974034307244
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48415,geothermal,geothermal,0.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48415,storage,lithium_ion,100.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48415,smr,smr,100.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48415,gas_turbine,gas,50.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48415,diesel,diesel,5.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48421,solar,solar,0.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48421,wind,wind,5.091261039194379
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48421,geothermal,geothermal,0.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48421,storage,lithium_ion,100.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48421,smr,smr,100.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48421,gas_turbine,gas,50.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48421,diesel,diesel,5.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48439,solar,solar,8.787523907204047
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48439,wind,wind,0.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48439,geothermal,geothermal,0.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48439,storage,lithium_ion,100.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48439,smr,smr,100.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48439,gas_turbine,gas,50.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48439,diesel,diesel,5.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48475,solar,solar,7.570018804773241
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48475,wind,wind,0.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48475,geothermal,geothermal,0.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48475,storage,lithium_ion,100.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48475,smr,smr,100.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48475,gas_turbine,gas,50.0
all_gen_200MW___002__ren_penetration=0__site_gen_penetration=0.2,48475,diesel,diesel,5.0
